title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Comes a Horseman,118,6.3,2798,27,19,41,0,7,0,0,0,0,0,1,0
Coming Home,127,7.4,13429,82,52,61,3,6,0,0,1,2,0,8,3
Coming to America,117,7.1,204095,249,95,47,6,6,4,7.8,115,23,10,2,0
Con Air,115,6.9,292812,447,129,52,8,11,4,8.5,297,41,21,2,0
Contact,150,7.5,269559,760,173,62,12,11,0,8,169,29,7,2,0
Cool Hand Luke,127,8.1,173972,381,131,92,16,0,0,8.6,53,3,1,4,1
Coraline,100,7.7,217918,459,330,80,35,3,0,8.4,640,59,52,1,0
Country Strong,117,6.3,18060,122,133,45,7,16,7,6.1,16,16,7,1,0
Crash,112,7.8,432572,1700,280,66,20,15,1,8.5,607,48,55,6,3
Crazy Heart,112,7.2,88898,272,278,83,31,1,0,7.5,150,39,11,3,2
Crimes and Misdemeanors,104,7.8,57475,192,99,77,9,0,1,8.4,53,5,2,3,0
Crimes of the Heart,105,6.3,4124,36,15,58,6,5,2,0,0,0,0,3,0
Crimson Tide,116,7.3,110744,244,86,66,12,8,0,7.1,52,13,7,3,0
"Crouching Tiger, Hidden Dragon",120,7.9,264932,1700,282,94,32,0,0,8.1,556,52,56,10,4
Cry Freedom,157,7.4,13418,61,24,59,7,8,0,7.8,4,0,0,3,0
Curse of the Golden Flower,114,7,43888,237,187,70,23,8,1,7.5,71,19,11,1,0
Cyrano de Bergerac,137,7.5,24058,90,32,79,17,2,0,7.9,7,1,0,6,2
Dad,117,6.3,4969,34,22,43,5,8,4,0,0,0,0,1,0
Daisy Miller,91,6.1,1398,26,22,48,2,3,2,0,0,1,0,1,0
Damage,111,6.7,17950,105,42,71,21,6,1,8,3,1,0,1,0
Dancer in the Dark,140,8,108245,744,134,61,18,11,4,8.7,191,13,8,1,0
Dangerous Liaisons,119,7.6,69060,167,57,74,13,3,1,7.6,62,6,5,7,3
Darwin's Nightmare,107,7.5,5518,50,78,84,18,0,0,7.5,36,3,10,1,0
Daughter from Danang,83,7.5,592,29,27,77,13,3,0,6.4,5,0,3,1,0
Dave,110,6.9,53051,155,55,76,27,3,0,6.8,7,5,0,1,0
David Copperfield,130,7.4,4198,53,24,91,8,0,0,0,2,0,0,3,0
Days of Glory,120,7,14568,73,96,82,23,2,0,7.3,16,3,3,1,0
Days of Heaven,94,7.8,57182,235,119,93,17,2,0,8.4,145,15,5,4,1
Days of Thunder,107,6,85762,147,82,60,10,5,1,5.5,24,28,18,1,0
Days of Wine and Roses,117,7.8,12623,133,49,74,6,1,0,7.7,5,1,0,5,1
Dead Man Walking,122,7.5,93799,233,68,80,22,2,2,7.8,57,12,4,4,1
Dead Poets Society,128,8.1,469029,732,114,79,11,3,0,8.3,245,17,10,4,1
Death Becomes Her,104,6.6,115271,241,89,56,10,14,0,8.5,40,7,0,1,1
Death on the Nile,140,7.3,33155,157,70,59,2,6,0,6.9,5,2,0,1,1
Deconstructing Harry,96,7.3,44687,141,73,61,12,4,3,7.3,28,10,2,1,0
Defiance,137,7.2,146099,277,128,58,18,16,0,5.9,102,36,48,1,0
Deliver Us from Evil,101,7.9,10358,60,42,86,23,0,0,7.9,31,5,3,1,0
Deliverance,109,7.7,106395,440,137,80,13,2,0,7.7,20,5,0,3,0
Departures,130,8,51495,176,173,68,20,7,0,8,54,3,6,1,1
Detective Story,103,7.5,8320,87,41,78,12,1,0,0,0,1,0,4,0
Diamonds Are Forever,120,6.6,104231,363,115,59,4,7,0,5.8,18,27,8,1,0
Dick Tracy,105,6.2,61045,202,100,68,16,8,0,7.1,5,2,0,7,3
Die Hard,132,8.3,854263,1000,217,72,10,4,0,5.5,521,124,316,4,0
Diner,110,7.1,20873,106,46,82,13,2,0,8.4,32,6,2,1,0
Dirty Dancing,100,7,223817,521,117,65,14,5,1,7.6,87,20,7,1,1
