title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Oisin,17 min,7.5,28,,,,,,,,,,
Shut Up... I'm Crying,17 min,7.5,28,,,,,,,,,,
Time Is Running Out,33 min,7.5,28,,,,,,,,,,
The Garden of the Finzi-Continis,94 min,7.3,6724,40,44,,,,,,,,
Little Big Man,139 min,7.6,34928,137,63,63,4,2,1,7.7,22,2,1
Love Story,100 min,6.9,33630,207,62,84,4,1,0,7.6,24,8,1
Madron,90 min,5.2,306,10,5,,,,,,,,
The Gifts,29 min,7.0,10,,,,,,,,,,
A Long Way from Nowhere,29 min,7.0,10,,,,,,,,,,
Peace Over the Fields,91 min,7.5,176,,,,,,,,,,
Sticky My Fingers... Fleet My Feet,15 min,7.0,54,2,2,,,,,,,,
Walls of Fire,80 min,7.3,14,,,,,,,,,,
Say Goodbye,52 min,6.4,35,10,,,,,,,,,
Interviews with My Lai Veterans,22 min,7.6,239,4,2,,,,,,,,
Death in Venice,130 min,7.4,20757,137,76,,,,,,,,
The Emigrants,151 min,8.0,6534,18,38,,,,,,,,
The Andromeda Strain,131 min,7.2,36532,230,91,60,3,6,0,7.8,15,2,0
The Ra Expeditions,96 min,7.4,283,,,,,,,,,,
Summer of '42,104 min,7.2,7996,117,33,,,,,,,,
Murmur of the Heart,118 min,7.6,9787,49,53,,,,,,,,
The Go-Between,116 min,7.2,5724,52,31,,,,,,,,
The Hellstrom Chronicle,90 min,7.4,853,20,24,,,,,,,,
Sentinels of Silence,18 min,7.2,144,3,,,,,,,,,
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,108 min,5.5,972,19,17,,,,,,,,
Klute,114 min,7.1,25496,162,89,81,13,2,0,7.5,3,1,0
McCabe & Mrs. Miller,120 min,7.6,24600,155,108,93,15,2,0,7.6,4,1,0
Shaft,100 min,6.6,18665,105,71,66,9,1,0,7.3,6,1,0
Willy Wonka & the Chocolate Factory,100 min,7.8,195551,457,94,67,6,4,0,8.1,55,5,2
Carnal Knowledge,98 min,7.0,12642,96,45,77,4,4,0,tbd,1,1,0
What's the Matter with Helen?,101 min,6.3,1889,41,43,,,,,,,,
Bless the Beasts & Children,109 min,6.7,1425,44,8,,,,,,,,
Sunday Bloody Sunday,110 min,7.0,6260,61,49,,,,,,,,
On Any Sunday,96 min,7.7,1356,,,,,,,,,,
Kotch,113 min,6.6,1441,14,15,,,,,,,,
The Last Picture Show,118 min,8.0,47297,,,,,,,,,,
Bedknobs and Broomsticks,117 min,7.1,36937,121,55,59,5,6,0,6.7,4,1,1
The French Connection,104 min,7.7,120170,374,174,94,17,1,0,8.4,163,23,4
Fiddler on the Roof,181 min,8.0,42936,186,68,67,9,4,0,7.9,13,1,1
The Further Adventures of Uncle Sam,13 min,5.3,171,4,,,,,,,,,
The Policeman,87 min,7.5,741,4,,,,,,,,,
Clockmaker,26 min,8.0,10,,,,,,,,,,
Kama Sutra Rides Again,9 min,5.9,229,4,,,,,,,,,
Straw Dogs,113 min,7.4,59472,291,96,73,7,4,0,7.5,8,0,0
The Selfish Giant,26 min,7.2,324,17,,,,,,,,,
Nicholas and Alexandra,183 min,7.2,4936,74,23,,,,,,,,
Diamonds Are Forever,120 min,6.6,104231,363,115,59,4,7,0,5.8,18,27,8
The Hospital,103 min,7.1,6423,81,38,72,4,3,0,tbd,2,0,0
The Boy Friend,137 min,6.9,3181,62,27,,,,,,,,
Sometimes a Great Notion,114 min,6.9,3924,40,25,,,,,,,,
A Clockwork Orange,136 min,8.3,806722,1.6K,200,77,19,1,2,7.2,767,54,218
A Christmas Carol,28 min,7.6,1668,31,7,,,,,,,,
"Mary, Queen of Scots",128 min,7.1,4347,45,17,53,2,4,0,tbd,0,0,0
Alaska Wilderness Lake,60 min,7.0,13,,,,,,,,,,
The Crunch Bird,2 min,5.3,484,10,,,,,,,,,
Evolution,11 min,6.3,207,4,,,,,,,,,
Good Morning,12 min,6.5,20,,,,,,,,,,
Hundertwassers Regentag,43 min,7.2,63,,,,,,,,,,
The Numbers Start with the River,15 min,7.2,63,,,,,,,,,,
The Hot Rock,101 min,6.8,6223,83,39,65,5,3,0,tbd,0,0,0
I Love You Rosa,77 min,6.5,210,3,3,,,,,,,,
Cabaret,124 min,7.8,53762,221,101,80,7,0,1,8.2,58,10,2
The Little Ark,100 min,6.4,112,4,,,,,,,,,
Mi querida señorita,80 min,7.1,562,4,3,,,,,,,,
The New Land,102 min,8.0,4590,16,23,,,,,,,,
"Brother Sun, Sister Moon",121 min,7.2,4507,65,16,,,,,,,,
The Godfather,175 min,9.2,1771185,4.9K,273,100,16,0,0,9.2,"3,488",98,116
The Stepmother,94 min,4.0,443,18,11,,,,,,,,
Images,104 min,7.1,6692,64,65,,,,,,,,
The Ruling Class,154 min,7.3,6215,72,47,,,,,,,,
Fat City,96 min,7.3,8976,72,84,88,15,1,0,tbd,0,0,0
Malcolm X,91 min,7.5,461,6,3,,,,,,,,
Marjoe,88 min,7.5,1559,30,37,,,,,,,,
Ben,94 min,5.3,2904,46,42,,,,,,,,
The Candidate,110 min,7.0,10940,,,,,,,,,,
Adventures in Perception,21 min,6.3,35,,,,,,,,,,
Norman Rockwell's World... An American Dream,25 min,7.2,42,,,,,,,,,,
Napoleon and Samantha,92 min,6.0,987,7,5,,,,,,,,
Butterflies Are Free,109 min,7.2,5116,45,11,,,,,,,,
Young Winston,124 min,6.7,2533,40,16,,,,,,,,
Deliverance,109 min,7.7,106395,440,137,80,13,2,0,7.7,20,5,0
Sounder,105 min,7.6,4138,38,25,80,4,2,0,tbd,2,0,0
The Dawns Here Are Quiet,188 min,8.1,4219,17,9,,,,,,,,
The Discreet Charm of the Bourgeoisie,102 min,7.8,42252,94,95,93,12,0,0,8.0,57,4,8
Lady Sings the Blues,144 min,7.0,4375,56,26,,,,,,,,
Last Tango in Paris,129 min,6.9,53152,216,115,77,4,2,0,6.7,25,12,7
1776,141 min,7.6,9434,154,43,,,,,,,,
Art Is...,28 min,8.1,28,,,,,,,,,,
Somebody Waiting,24 min,7.1,18,,,,,,,,,,
Selling Out,24 min,6.0,10,,,,,,,,,,
The Life and Times of Judge Roy Bean,120 min,6.9,8150,68,25,,,,,,,,
Sleuth,138 min,8.0,47229,174,62,,,,,,,,
Man of La Mancha,132 min,6.5,4319,77,28,,,,,,,,
The Poseidon Adventure,117 min,7.1,44457,302,73,70,8,2,0,7.7,11,3,0
The Heartbreak Kid,106 min,7.0,4768,54,41,74,10,2,0,tbd,1,0,0
Pete 'n' Tillie,100 min,6.3,984,22,8,,,,,,,,
Travels with My Aunt,108 min,6.4,2240,32,17,,,,,,,,
Bij de beesten af,104 min,7.8,256,3,,,,,,,,,
Cries & Whispers,91 min,8.0,33519,229,97,,,,,,,,
Frog Story,23 min,6.9,37,,,,,,,,,,
K-Z,23 min,6.9,37,,,,,,,,,,
The Silent Revolution,40 min,7.5,19,,,,,,,,,,
Solo,26 min,7.6,54,4,,,,,,,,,
This Tiny World,15 min,7.3,45,,,,,,,,,,
The Tide of Traffic,28 min,6.6,13,,,,,,,,,,
Tup Tup,10 min,6.1,217,4,,,,,,,,,
Ludwig,238 min,7.6,4980,36,40,,,,,,,,
Manson,83 min,7.3,1017,23,10,,,,,,,,
Save the Tiger,100 min,6.9,5007,60,38,,,,,,,,
Turkish Delight,108 min,7.1,10885,35,30,,,,,,,,
Tom Sawyer,103 min,6.5,2216,18,14,,,,,,,,
Paper Moon,102 min,8.1,46595,173,62,77,6,2,0,8.6,21,1,0
Frank Film,9 min,6.0,714,9,3,,,,,,,,
The Invitation,100 min,7.1,564,3,4,,,,,,,,
Day for Night,116 min,8.0,22471,85,88,,,,,,,,
The Day of the Jackal,143 min,7.8,40317,237,67,80,6,2,0,7.3,8,3,1
A Touch of Class,106 min,6.5,3107,41,17,,,,,,,,
Live and Let Die,121 min,6.7,105327,344,115,55,4,5,0,6.3,27,27,3
Pulcinella,11 min,6.4,118,2,,,,,,,,,
American Graffiti,110 min,7.4,88117,327,117,97,15,0,0,7.6,52,12,3
Jesus Christ Superstar,106 min,7.3,26745,235,51,64,2,5,0,6.7,7,0,2
Bang the Drum Slowly,96 min,6.8,5817,,,,,,,,,,
The Pedestrian,98 min,6.6,231,6,5,,,,,,,,
The Paper Chase,113 min,7.2,7888,95,22,65,3,4,0,tbd,2,0,0
The Way We Were,118 min,7.0,24742,132,54,61,6,5,0,7.1,5,2,0
"Summer Wishes, Winter Dreams",93 min,6.4,754,17,9,,,,,,,,
Jonathan Livingston Seagull,99 min,5.9,2063,44,31,,,,,,,,
The House on Chelouche Street,110 min,6.7,239,2,,,,,,,,,
The Bolero,26 min,7.5,93,6,,,,,,,,,
Life Times Nine,15 min,6.3,16,,,,,,,,,,
The Family That Dwelt Apart,8 min,6.8,216,4,,,,,,,,,
Robin Hood,83 min,7.5,124361,187,75,57,5,3,1,7.5,32,12,1
Serpico,130 min,7.7,120242,227,113,87,7,0,0,8.5,129,14,1
The Last Detail,104 min,7.5,24368,134,65,89,11,0,0,7.6,15,3,0
Papillon,151 min,8.0,128720,231,73,58,3,7,0,8.2,25,2,0
Cinderella Liberty,117 min,6.8,2082,33,24,,,,,,,,
Amarcord,123 min,7.9,42980,135,108,,,,,,,,
The Day of the Dolphin,104 min,6.0,3134,40,33,,,,,,,,
The Sting,129 min,8.3,256605,340,132,83,12,5,0,8.2,56,5,2
The Exorcist,122 min,8.1,389688,1.3K,230,81,16,5,0,8.7,435,33,17
Background,20 min,5.8,18,,,,,,,,,,
Battle of Berlin,90 min,6.8,25,,,,,,,,,,
Four Stones for Kanemitsu,28 min,6.3,25,,,,,,,,,,
Journey to the Outer Limits,52 min,7.2,28,,,,,,,,,,
Paisti ag obair,10 min,6.8,11,,,,,,,,,,
"Lacombe, Lucien",138 min,7.6,7109,44,49,,,,,,,,
Blazing Saddles,93 min,7.7,135936,470,108,73,8,,,73,8,,
Christo's Valley Curtain,28 min,6.7,200,5,3,,,,,,,,
Princeton: A Search for Answers,30 min,6.3,51,3,,,,,,,,,
The Great Gatsby,144 min,6.4,24877,159,46,43,2,1,2,6.0,11,9,5
Claudine,92 min,7.2,2201,33,22,,,,,,,,
Always a New Beginning,90 min,9.2,16,,,,,,,,,,
The Conversation,113 min,7.8,109307,431,172,87,16,1,0,8.5,117,11,4
The Apprenticeship of Duddy Kravitz,120 min,6.8,2012,11,24,,,,,,,,
Cat's Play,98 min,6.5,204,,,,,,,,,,
And Now My Love,150 min,7.2,720,15,4,,,,,,,,
The Wild and the Brave,102 min,4.9,25,,,,,,,,,,
Hearts and Minds,112 min,8.2,5688,46,68,68,6,3,0,7.2,10,1,2
Daisy Miller,91 min,6.1,1398,26,22,48,2,3,2,tbd,0,1,0
Thunderbolt and Lightfoot,115 min,7.0,24945,130,96,62,6,4,0,7.0,6,4,0
Benji,86 min,6.1,4783,,,,,,,,,,
Hunger,12 min,6.9,688,10,2,,,,,,,,
"Birds Do It, Bees Do It",90 min,7.0,94,7,2,,,,,,,,
Chinatown,130 min,8.2,318393,595,161,92,22,0,0,8.8,331,19,6
The Concert,12 min,7.2,38,3,,,,,,,,,
The Truce,108 min,7.3,615,2,2,,,,,,,,
Harry and Tonto,115 min,7.4,5661,74,40,72,9,4,0,tbd,1,0,0
The Great American Cowboy,89 min,7.0,97,,2,,,,,,,,
The Longest Yard,121 min,7.1,18601,75,61,61,4,3,0,6.5,4,4,0
The 81st Blow,92 min,7.5,40,,,,,,,,,,
The Deluge,287 min,7.7,2687,7,3,,,,,,,,
Gold,120 min,5.7,2237,31,22,,,,,,,,
Antonia: A Portrait of the Woman,58 min,7.0,90,,5,,,,,,,,
Shanks,93 min,5.6,627,30,32,,,,,,,,
A Woman Under the Influence,155 min,8.1,24704,127,87,88,14,2,0,7.9,18,0,2
The Legend of John Henry,11 min,6.8,84,,,,,,,,,,
Climb,22 min,6.8,84,,,,,,,,,,
Closed Mondays,8 min,6.6,715,12,2,,,,,,,,
John Muir's High Sierra,27 min,7.7,18,,,,,,,,,,
One-Eyed Men Are Kings,15 min,7.0,73,,,,,,,,,,
Voyage to Next,10 min,6.1,155,4,,,,,,,,,
The Four Musketeers: Milady's Revenge,108 min,6.9,10550,35,34,,,,,,,,
Sisyphus,3 min,7.0,868,7,,,,,,,,,
Phantom of the Paradise,91 min,7.3,18971,179,120,67,7,2,0,8.2,9,3,0
Brothel No. 8,120 min,7.6,593,8,5,,,,,,,,
The Little Prince,88 min,6.5,3619,42,20,,,,,,,,
Lenny,111 min,7.6,15904,,,,,,,,,,
Earthquake,122 min,5.9,16011,185,86,56,2,3,1,6.5,1,3,0
Murder on the Orient Express,128 min,7.3,61280,251,74,63,4,1,1,7.1,22,6,2
Winnie the Pooh and Tigger Too,25 min,7.8,2666,15,2,,,,,,,,
Alice Doesn't Live Here Anymore,112 min,7.3,23414,118,62,78,7,4,0,7.1,13,5,1
The Godfather: Part II,202 min,9.0,1224852,1.2K,183,90,17,1,0,9.1,997,30,31
The Towering Inferno,165 min,7.0,43020,260,92,69,9,2,0,8.2,15,1,0
Young Frankenstein,106 min,8.0,155058,398,127,80,8,1,1,8.3,48,4,0
The Island at the Top of the World,93 min,6.2,2746,50,24,,,,,,,,
Scent of a Woman,103 min,7.5,4422,24,20,,,,,,,,
Jacob the Liar,100 min,7.2,1278,17,5,,,,,,,,
City Out of Wilderness,28 min,7.2,1278,,,,,,,,,,
Exploratorium,15 min,6.5,28,,,,,,,,,,
Naked Yoga,24 min,6.7,56,,,,,,,,,,
Planet Ocean,24 min,7.9,12,3,,,,,,,,,
The Violin,30 min,6.7,41,2,,,,,,,,,
The Magic Flute,135 min,7.5,4746,37,38,,,,,,,,
The Man in the Glass Booth,117 min,7.1,1265,29,19,,,,,,,,
Shampoo,110 min,6.4,12666,126,63,65,7,4,0,6.8,4,2,0
The Promised Land,179 min,7.8,3556,16,10,,,,,,,,
The Challenge... A Tribute to Modern Art,104 min,7.2,59,2,,,,,,,,,
The Other Half of the Sky: A China Memoir,74 min,7.5,74,,,,,,,,,,
Funny Lady,136 min,6.2,5430,43,28,,,,,,,,
Hester Street,89 min,7.0,1429,23,31,,,,,,,,
Tommy,111 min,6.6,20623,214,67,66,7,2,1,8.0,7,2,0
Bite the Bullet,132 min,6.6,5313,51,31,,,,,,,,
The Day of the Locust,144 min,6.9,5764,86,36,61,7,7,0,tbd,0,0,0
The Wind and the Lion,119 min,6.8,9199,118,40,67,7,2,0,tbd,1,0,0
Nashville,160 min,7.7,25928,189,109,96,24,0,0,8.6,13,0,0
Once Is Not Enough,121 min,4.6,766,26,16,,,,,,,,
Jaws,124 min,8.1,579812,1.3K,288,87,19,2,0,8.7,609,34,17
The Other Side of the Mountain,102 min,6.4,1075,14,9,,,,,,,,
Dersu Uzala,142 min,8.2,27921,110,54,,,,,,,,
Half a House,84 min,4.6,49,,,,,,,,,,
"Farewell, My Lovely",95 min,7.0,8206,103,47,70,4,5,0,8.6,5,0,0
"Give 'em Hell, Harry!",104 min,7.3,506,12,12,,,,,,,,
Dog Day Afternoon,125 min,8.0,251556,353,92,86,14,1,0,8.6,75,3,1
The Story of Adele H,96 min,7.2,8136,35,30,,,,,,,,
The Man Who Skied Down Everest,86 min,7.2,549,17,15,,,,,,,,
Noce i dnie,245 min,7.5,470,3,,,,,,,,,
Three Days of the Condor,117 min,7.4,54338,222,117,63,6,5,0,7.4,14,7,0
Lies My Father Told Me,102 min,6.7,531,14,13,,,,,,,,
Don't,19 min,7.6,40,,,,,,,,,,
Mahogany,109 min,6.1,1942,42,18,,,,,,,,
Whiffs,91 min,4.5,205,4,9,,,,,,,,
Cousin cousine,95 min,6.7,1546,16,13,,,,,,,,
The Sunshine Boys,111 min,7.1,6194,60,20,,,,,,,,
One Flew Over the Cuckoo's Nest,133 min,8.7,979428,1.1K,179,84,18,2,0,8.8,472,23,15
The Man Who Would Be King,129 min,7.8,48279,211,45,91,14,1,0,6.9,10,3,2
Fighting for Our Lives,59 min,6.3,29,,,,,,,,,,
Barry Lyndon,185 min,8.1,163334,513,115,89,19,2,0,8.6,76,8,4
Hedda,102 min,6.5,322,6,5,,,,,,,,
Seven Beauties,116 min,7.7,5767,47,40,,,,,,,,
The Hindenburg,125 min,6.2,5821,69,30,,,,,,,,
Letters from Marusia,110 min,7.0,311,,,,,,,,,,
Arthur and Lillie,29 min,4.9,11,,,,,,,,,,
The California Reich,55 min,7.1,131,6,2,,,,,,,,
Conquest of Light,11 min,6.3,13,,,,,,,,,,
A Day in the Life of Bonnie Consolo,17 min,7.0,42,2,,,,,,,,,
Doubletalk,10 min,7.2,46,,,,,,,,,,
The End of the Game,29 min,7.5,46,2,,,,,,,,,
Great (Isambard Kingdom Brunel),30 min,6.8,318,20,2,,,,,,,,
The Incredible Machine,60 min,7.3,31,,,,,,,,,,
Kick Me,8 min,6.1,84,2,,,,,,,,,
Millions of Years Ahead of Man,26 min,6.1,84,,,,,,,,,,
Probes in Space,23 min,6.1,84,,,,,,,,,,
Whistling Smith,27 min,7.1,60,,,,,,,,,,
Taxi Driver,114 min,8.3,791598,1.3K,294,94,22,1,0,7.6,923,61,165
The Slipper and the Rose: The Story of Cinderella,127 min,6.9,2785,84,17,,,,,,,,
All the President's Men,138 min,7.9,112856,277,152,84,17,1,0,8.1,41,3,0
Face to Face,114 min,7.5,5557,23,26,68,4,3,0,tbd,2,0,0
Volcano: An Inquiry Into the Life and Death of Malcolm Lowry,100 min,7.1,191,3,2,,,,,,,,
Angel and Big Joe,27 min,6.7,88,,,,,,,,,,
Hollywood on Trial,105 min,7.3,223,6,5,,,,,,,,
Bugsy Malone,93 min,6.8,17722,102,40,71,5,1,1,6.3,3,0,1
Logan's Run,119 min,6.8,55706,311,155,53,4,4,1,6.8,11,5,1
The Omen,111 min,7.5,116149,402,148,62,5,5,0,7.9,46,5,0
The Outlaw Josey Wales,135 min,7.8,72180,253,58,69,7,2,0,8.2,19,2,1
Monsieur Pointu,12 min,6.4,157,2,,,,,,,,,
The Shootist,100 min,7.6,24138,184,60,77,8,2,0,7.4,4,1,0
The Message,177 min,8.1,46779,164,21,,,,,,,,
Obsession,98 min,6.7,10098,81,90,59,5,5,0,5.2,2,2,1
The Street,10 min,6.6,777,9,,,,,,,,,
King Kong,134 min,5.9,32184,254,120,61,5,5,1,7.0,9,3,1
Black and White in Color,90 min,6.8,1568,20,10,,,,,,,,
The Front,95 min,7.3,8913,74,57,,,,,,,,
In the Region of Ice,37 min,7.0,42,,,,,,,,,,
Marathon Man,125 min,7.4,62522,207,90,64,5,1,1,7.4,7,5,0
Harlan County U.S.A.,103 min,8.2,5747,58,36,80,5,0,0,6.5,10,2,3
Union Maids,50 min,7.0,83,2,,,,,,,,,
The Seven-Per-Cent Solution,113 min,6.6,4571,48,41,,,,,,,,
The Passover Plot,108 min,4.6,123,7,7,,,,,,,,
People of the Wind,110 min,7.6,119,3,,,,,,,,,
Carrie,98 min,7.4,181618,607,188,85,12,2,0,8.1,90,12,4
Nightlife,11 min,7.3,24,,,,,,,,,,
The Incredible Sarah,106 min,5.6,212,3,5,,,,,,,,
Two-Minute Warning,115 min,6.1,3904,62,40,46,2,3,3,tbd,0,0,0
Network,121 min,8.1,156405,426,182,83,13,2,1,8.4,60,6,2
The Last Tycoon,123 min,6.3,8732,68,27,57,3,8,0,tbd,0,0,0
Rocky,120 min,8.1,557417,782,190,70,10,4,0,8.5,180,13,7
Dawn Flight,23 min,6.8,36,,,,,,,,,,
American Shoeshine,30 min,6.0,10,,,,,,,,,,
Silver Streak,114 min,6.9,19680,130,52,41,0,6,1,tbd,3,0,0
Bound for Glory,147 min,7.2,5089,57,39,70,6,4,0,tbd,0,0,0
Fellini's Casanova,155 min,7.0,7905,47,54,,,,,,,,
The Pink Panther Strikes Again,103 min,7.2,29599,124,37,60,4,3,0,7.0,5,3,0
A Star Is Born,139 min,6.1,11412,108,45,59,4,5,0,4.4,2,11,5
Voyage of the Damned,155 min,6.4,3018,,,,,,,,,,
Blackwood,28 min,6.3,51,,,,,,,,,,
Labyrinth,12 min,6.4,41,,,,,,,,,,
The End of the Road,23 min,6.7,10,,,,,,,,,,
Leisure,14 min,6.0,404,4,,,,,,,,,
The Morning Spider,22 min,6.8,30,2,,,,,,,,,
Number One,42 min,7.7,33,2,,,,,,,,,
Number Our Days,28 min,7.9,61,3,,,,,,,,,
Off the Edge,77 min,6.5,34,2,,,,,,,,,
Universe,27 min,7.2,53,3,,,,,,,,,
The Fifth Estate,60 min,7.8,233,,,,,,,,,,
Operation Thunderbolt,124 min,6.6,929,13,6,,,,,,,,
The Late Show,93 min,6.9,2797,46,24,,,,,,,,
Islands in the Stream,104 min,6.5,1456,27,14,,,,,,,,
Airport '77,114 min,5.7,10609,97,43,36,0,5,2,tbd,2,1,0
Annie Hall,93 min,8.0,262073,558,153,92,19,1,0,6.6,136,18,42
The Children of Theatre Street,90 min,7.0,153,,,,,,,,,,
Iphigenia,127 min,7.7,1829,20,10,,,,,,,,
A Special Day,106 min,8.1,13780,58,47,,,,,,,,
Smokey and the Bandit,96 min,7.0,49659,223,87,50,1,4,1,7.4,6,3,0
Star Wars,121 min,8.6,1315756,2K,207,90,22,1,1,8.8,"2,288",75,62
The Other Side of Midnight,165 min,6.0,1753,33,16,,,,,,,,
The Deep,123 min,6.2,12289,89,42,41,0,6,0,tbd,1,1,0
Homage to Chagall: The Colours of Love,88 min,7.1,41,,,,,,,,,,
The Rescuers,78 min,6.9,62899,111,67,74,5,3,0,6.4,16,10,3
Sorcerer,121 min,7.7,20960,174,109,68,7,6,0,8.3,9,1,0
The Sand Castle,13 min,7.1,1072,5,,,,,,,,,
The Spy Who Loved Me,125 min,7.1,106539,366,110,55,4,8,0,7.0,40,16,4
The Absent-Minded Waiter,7 min,7.4,708,11,,,,,,,,,
I Never Promised You a Rose Garden,96 min,6.5,1347,17,10,,,,,,,,
That Obscure Object of Desire,103 min,7.9,22464,71,86,84,4,1,0,8.4,23,2,0
You Light Up My Life,90 min,4.7,707,26,9,,,,,,,,
A Little Night Music,124 min,5.5,827,37,7,,,,,,,,
Who Are the DeBolts? and Where Did They Get Nineteen Kids?,72 min,7.4,207,3,7,,,,,,,,
Belyy Bim Chernoe ukho,182 min,8.1,2107,8,2,,,,,,,,
Julia,117 min,7.1,9599,62,41,58,3,3,0,tbd,2,0,0
"Oh, God!",98 min,6.6,9577,79,27,56,3,6,0,8.3,4,0,0
Equus,137 min,7.1,8098,65,52,,,,,,,,
Looking for Mr. Goodbar,136 min,6.7,7609,113,34,64,5,4,0,tbd,2,1,0
Kudzu,16 min,7.6,26,,,,,,,,,,
Gravity Is My Enemy,26 min,7.2,36,,,,,,,,,,
Spaceborne,14 min,7.2,42,,,,,,,,,,
The Divided Trail: A Native American Odyssey,33 min,6.7,27,,,,,,,,,,
Madame Rosa,105 min,7.2,1366,9,8,,,,,,,,
Pete's Dragon,128 min,6.3,24390,104,51,46,1,3,1,6.1,3,5,1
The Turning Point,119 min,6.8,4625,36,17,68,7,3,0,tbd,1,1,0
Close Encounters of the Third Kind,138 min,7.6,197444,492,228,90,10,0,0,7.8,185,34,7
A Doonesbury Special,25 min,6.5,183,7,,,,,,,,,
The Goodbye Girl,111 min,7.4,13839,97,42,64,7,4,0,7.1,6,1,0
Saturday Night Fever,118 min,6.8,78317,291,108,77,6,0,1,8.2,95,18,5
Viva Italia!,90 min,7.0,1893,5,3,,,,,,,,
"Agueda Martinez: Our People, Our Country",16 min,6.9,25,,,,,,,,,,
The Bead Game,6 min,7.1,643,5,,,,,,,,,
First Edition,30 min,6.2,19,,,,,,,,,,
High Grass Circus,57 min,6.3,37,,,,,,,,,,
I'll Find a Way,26 min,7.0,85,2,,,,,,,,,
Jimmy the C,4 min,5.2,127,4,,,,,,,,,
"Of Time, Tombs and Treasures",29 min,6.3,11,,,,,,,,,,
The Shetland Experience,27 min,6.9,42,,,,,,,,,,
Pretty Baby,110 min,6.5,10749,89,33,66,7,3,0,5.0,2,0,2
Get Out Your Handkerchiefs,108 min,7.0,3857,26,29,,,,,,,,
Magyarok,107 min,7.1,277,2,,,,,,,,,
Coming Home,127 min,7.4,13429,82,52,61,3,6,0,tbd,1,2,0
Raoni,84 min,6.4,83,,,,,,,,,,
An Unmarried Woman,124 min,7.1,5321,,,,,,,,,,
Mysterious Castles of Clay,56 min,8.1,69,6,,,,,,,,,
The Glass Cell,93 min,6.8,227,3,2,,,,,,,,
The Buddy Holly Story,114 min,7.2,8952,72,33,78,11,0,0,tbd,0,1,0
Midnight Express,121 min,7.5,78577,301,74,59,5,5,1,7.7,17,7,0
Thank God It's Friday,89 min,5.4,2749,55,24,,,,,,,,
Oh My Darling ...,7 min,6.4,165,,,,,,,,,,
Grease,110 min,7.2,262414,,,,,,,,,,
Heaven Can Wait,101 min,6.9,20852,121,49,72,7,3,0,7.9,8,0,0
Foul Play,116 min,6.8,15273,118,40,45,4,1,2,7.4,6,2,0
The Swarm,116 min,4.5,7667,,,,,,,,,,
The Magic of Lassie,100 min,5.6,596,12,7,,,,,,,,
Hooper,99 min,6.3,6862,49,37,70,8,0,1,tbd,1,1,0
Interiors,92 min,7.3,19557,126,62,67,3,6,0,7.0,6,4,0
The Boys from Brazil,125 min,7.0,27636,157,67,40,1,5,1,7.0,7,3,0
Days of Heaven,94 min,7.8,57182,235,119,93,17,2,0,8.4,145,15,5
Bloodbrothers,116 min,5.8,949,12,10,49,1,4,0,tbd,0,0,0
Death on the Nile,140 min,7.3,33155,157,70,59,2,6,0,6.9,5,2,0
Autumn Sonata,99 min,8.1,33498,101,76,,,,,,,,
Special Delivery,7 min,7.3,1056,10,,,,,,,,,
La Cage aux Folles,97 min,7.2,10727,45,32,,,,,,,,
The Wiz,134 min,5.5,15025,174,39,53,5,4,2,7.8,4,1,1
Comes a Horseman,118 min,6.3,2798,27,19,41,0,7,0,tbd,0,0,0
Floating Free,11 min,6.7,31,,,,,,,,,,
Notes on the Popular Arts,20 min,6.2,63,,,,,,,,,,
The Flight of the Gossamer Condor,27 min,7.0,60,2,,,,,,,,,
Goodnight Miss Ann,28 min,3.8,10,,,,,,,,,,
Caravans,127 min,6.0,999,10,11,,,,,,,,
Rip Van Winkle,27 min,6.6,123,2,,,,,,,,,
A Simple Story,110 min,6.9,1252,5,15,,,,,,,,
"Same Time, Next Year",119 min,7.2,6105,73,17,,,,,,,,
The Brink's Job,104 min,6.5,3027,23,20,,,,,,,,
The Deer Hunter,183 min,8.1,332510,1.2K,141,86,16,2,0,7.6,183,25,28
Superman,143 min,7.4,171390,625,207,81,16,4,0,8.0,313,46,20
California Suite,103 min,6.2,7302,60,35,,,,,,,,
A Different Approach,21 min,7.4,62,5,,,,,,,,,
An Encounter with Faces,21 min,7.1,41,,,,,,,,,,
Ice Castles,108 min,6.5,3507,56,17,51,4,5,0,tbd,0,1,0
Scared Straight!,96 min,7.8,800,15,9,,,,,,,,
Squires of San Quentin,30 min,7.0,11,,,,,,,,,,
Teenage Father,25 min,7.3,76,,,,,,,,,,
The Lovers' Wind,71 min,8.2,289,,3,,,,,,,,
Tout rien,11 min,7.5,378,4,,,,,,,,,
With Babies and Banners: Story of the Women's Emergency Brigade,45 min,6.8,58,3,,,,,,,,,
Agatha,105 min,6.2,3175,31,20,,,,,,,,
Norma Rae,114 min,7.3,11440,58,36,61,6,3,1,7.4,10,2,0
The China Syndrome,122 min,7.4,29731,133,68,81,15,1,0,8.0,16,2,0
The Promise,97 min,6.5,752,33,5,42,0,3,1,tbd,0,0,0
The Champ,121 min,6.8,8520,65,20,38,0,7,1,tbd,0,0,1
The Maids of Wilko,118 min,7.4,1255,6,2,,,,,,,,
