title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
The General Died at Dawn,98 min,6.5,1209,22,16,,,,,,,,
Dodsworth,101 min,7.8,9033,99,36,,,,,,,,
Cain and Mabel,90 min,6.5,1888,29,6,,,,,,,,
Valiant Is the Word for Carrie,110 min,6.4,211,3,,,,,,,,,
Libeled Lady,98 min,7.8,7841,72,51,,,,,,,,
The Public Pays,19 min,6.3,218,7,,,,,,,,,
The Magnificent Brute,77 min,5.9,53,2,,,,,,,,,
The Garden of Allah,79 min,5.8,1552,48,21,,,,,,,,
The Charge of the Light Brigade,115 min,7.0,4902,65,31,,,,,,,,
Pigskin Parade,93 min,6.1,676,21,5,,,,,,,,
The Country Cousin,9 min,6.9,1528,12,,,,,,,,,
Come and Get It,99 min,6.9,2087,51,24,,,,,,,,
Theodora Goes Wild,94 min,7.1,2499,46,22,,,,,,,,
Lloyd's of London,118 min,7.0,1112,20,8,,,,,,,,
Pennies from Heaven,81 min,6.5,718,20,15,,,,,,,,
Winterset,77 min,6.2,426,18,10,,,,,,,,
Born to Dance,106 min,6.7,1643,44,13,,,,,,,,
Popeye the Sailor Meets Sindbad the Sailor,16 min,7.3,3352,31,13,,,,,,,,
Banjo on My Knee,95 min,6.1,594,15,2,,,,,,,,
General Spanky,71 min,5.9,397,14,8,,,,,,,,
Camille,109 min,7.4,7947,77,35,,,,,,,,
Give Me Liberty,22 min,6.2,221,8,,,,,,,,,
Three Smart Girls,84 min,6.6,1381,29,14,,,,,,,,
After the Thin Man,112 min,7.7,10717,89,45,,,,,,,,
Gold Diggers of 1937,101 min,6.5,1022,23,10,,,,,,,,
Wanted -- A Master,10 min,6.9,121,2,,,,,,,,,
One in a Million,95 min,6.1,307,18,6,,,,,,,,
That Girl from Paris,104 min,5.7,331,15,2,,,,,,,,
Torture Money,21 min,6.1,163,7,,,,,,,,,
Black Legion,83 min,6.9,3226,54,29,,,,,,,,
The Good Earth,138 min,7.5,4945,70,23,,,,,,,,
Lost Horizon,132 min,7.7,13044,139,45,,,,,,,,
"Ready, Willing and Able",93 min,5.7,288,13,4,,,,,,,,
Waikiki Wedding,89 min,6.0,335,14,3,,,,,,,,
Maytime,132 min,7.3,1086,47,4,,,,,,,,
Quality Street,83 min,6.2,1179,24,6,,,,,,,,
Thin Ice,79 min,6.3,385,11,12,,,,,,,,
Penny Wisdom,10 min,6.1,278,8,,,,,,,,,
Way Out West,66 min,7.6,8264,72,35,,,,,,,,
A Star Is Born,111 min,7.3,9721,78,55,77,4,1,0,7.4,7,2,0
Shall We Dance,109 min,7.5,7130,69,25,,,,,,,,
Night Must Fall,116 min,7.2,2536,53,15,,,,,,,,
Captains Courageous,117 min,8.0,9617,104,36,81,7,0,0,tbd,0,0,0
Wings Over Honolulu,78 min,5.4,83,4,,,,,,,,,
The Grand Illusion,113 min,8.1,36135,147,94,,,,,,,,
A Day at the Races,111 min,7.5,13739,81,29,,,,,,,,
Wee Willie Winkie,100 min,7.0,1692,25,12,,,,,,,,
Topper,97 min,7.3,7469,64,25,,,,,,,,
Artist and Models,97 min,6.0,317,12,6,,,,,,,,
Stella Dallas,106 min,7.4,5389,72,32,,,,,,,,
Souls at Sea,92 min,6.9,761,12,7,,,,,,,,
The Life of Emile Zola,116 min,7.2,8134,64,46,,,,,,,,
Mr. Dodd Takes the Air,87 min,5.4,209,5,3,,,,,,,,
Vogues of 1938,109 min,5.9,287,14,2,,,,,,,,
Dead End,93 min,7.3,7462,73,50,,,,,,,,
Make a Wish,77 min,5.5,178,9,,,,,,,,,
The Prisoner of Zenda,101 min,7.7,4498,60,13,,,,,,,,
Popular Science,10 min,5.4,19,,,,,,,,,,
Varsity Show,120 min,6.1,443,18,4,,,,,,,,
One Hundred Men and a Girl,84 min,6.7,1073,26,11,,,,,,,,
Should Wives Work?,20 min,6.0,30,,,,,,,,,,
The Girl Said No,76 min,6.4,102,6,,,,,,,,,
Something to Sing About,93 min,6.2,911,27,7,,,,,,,,
Stage Door,92 min,7.7,8352,95,45,,,,,,,,
Ali Baba Goes to Town,81 min,6.5,573,11,11,,,,,,,,
The Awful Truth,90 min,7.7,19366,135,64,87,9,1,0,8.0,3,1,0
Conquest,113 min,6.5,1531,33,14,,,,,,,,
Romance of Radium,10 min,6.2,229,9,,,,,,,,,
Educated Fish,7 min,6.0,247,4,,,,,,,,,
