title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
The Bells of St. Mary's,70,42,,,,,,,,
Quiet Please!,13,3,,,,,,,,
Leave Her to Heaven,168,90,,,,,,,,
Hitler Lives,14,,,,,,,,,
The Harvey Girls,65,23,65,5,4,0,tbd,0,0,0
To Each His Own,39,11,67,5,2,0,tbd,0,0,0
Facing Your Danger,5,,,,,,,,,
Anna and the King of Siam,34,18,,,,,,,,
The Jolson Story,56,9,,,,,,,,
Song of the South,287,45,54,2,4,0,5.7,5,5,3
The Razor's Edge,97,32,,,,,,,,
The Best Years of Our Lives,328,112,93,17,0,0,8.5,34,3,1
Great Expectations,128,66,90,15,0,0,8.3,4,0,0
The Yearling,87,24,89,6,0,0,tbd,1,0,0
A Boy and His Dog,8,,,,,,,,,
Seeds of Destiny,,,,,,,,,,
The Farmer's Daughter,35,17,,,,,,,,
Black Narcissus,180,113,86,14,1,0,6.0,3,2,1
The Cat Concerto,26,6,,,,,,,,
Tweetie Pie,12,2,,,,,,,,
Climbing the Matterhorn,,,,,,,,,,
Miracle on 34th Street,208,97,88,10,0,0,7.8,13,3,0
The Bachelor and the Bobby-Soxer,69,25,,,,,,,,
Rhythm of a City,,,,,,,,,,
Mother Wore Tights,19,11,,,,,,,,
Green Dolphin Street,56,11,,,,,,,,
Body and Soul,55,34,,,,,,,,
Gentleman's Agreement,159,73,,,,,,,,
The Bishop's Wife,180,49,72,9,1,0,7.5,4,2,0
A Double Life,59,39,,,,,,,,
First Steps,2,,,,,,,,,
Design for Death,,,,,,,,,,
The Treasure of the Sierra Madre,306,103,98,9,1,0,8.5,99,9,2
"Goodbye, Miss Turlock",8,,,,,,,,,
The Search,74,21,,,,,,,,
The Naked City,107,79,74,7,3,0,tbd,0,0,0
Hamlet,100,55,82,7,3,0,tbd,3,0,0
Easter Parade,92,54,,,,,,,,
Key Largo,197,71,,,,,,,,
The Red Shoes,193,119,,,,,,,,
The Secret Land,9,2,,,,,,,,
Johnny Belinda,72,24,,,,,,,,
Van Gogh,4,,,,,,,,,
The Snake Pit,80,44,,,,,,,,
Joan of Arc,40,18,,,,,,,,
Adventures of Don Juan,63,11,,,,,,,,
The Paleface,46,30,,,,,,,,
Seal Island,3,4,,,,,,,,
Portrait of Jennie,133,51,,,,,,,,
Toward Independence,,,,,,,,,,
The Little Orphan,14,3,,,,,,,,
So Much for So Little,10,,,,,,,,,
A Letter to Three Wives,89,58,,,,,,,,
Little Women,75,13,61,3,2,0,tbd,0,2,1
Champion,61,40,,,,,,,,
The Stratton Story,32,21,,,,,,,,
Neptune's Daughter,26,21,,,,,,,,
She Wore a Yellow Ribbon,120,65,,,,,,,,
Mighty Joe Young,84,45,61,2,2,0,tbd,3,0,0
Daybreak in Udi,,,,,,,,,,
The Third Man,506,210,97,29,1,0,8.5,84,4,2
The Heiress,163,65,,,,,,,,
All the King's Men,90,60,,,,,,,,
Battleground,93,29,,,,,,,,
For Scent-imental Reasons,20,3,,,,,,,,
A Chance to Live,,,,,,,,,,
On the Town,123,57,71,7,1,0,7.5,4,0,0
Samson and Delilah,79,28,,,,,,,,
Twelve O'Clock High,156,47,,,,,,,,
"Captain Carey, U.S.A.",7,9,,,,,,,,
Kon-Tiki,12,6,,,,,,,,
The Titan: Story of Michelangelo,,,,,,,,,,
Aquatic House Party,,,,,,,,,,
Annie Get Your Gun,101,26,77,5,0,0,7.0,4,0,1
Destination Moon,96,42,,,,,,,,
Panic in the Streets,96,57,,,,,,,,
Beaver Valley,5,5,,,,,,,,
Sunset Blvd.,676,193,,,,,,,,
Grandad of Races,4,,,,,,,,,
Seven Days to Noon,38,26,,,,,,,,
All About Eve,409,153,98,15,0,0,8.8,95,4,2
Gerald McBoing-Boing,16,2,,,,,,,,
King Solomon's Mines,83,34,,,,,,,,
Cyrano de Bergerac,56,27,,,,,,,,
Harvey,256,80,,,,,,,,
Born Yesterday,99,57,,,,,,,,
Why Korea?,,,,,,,,,,
A Place in the Sun,184,80,76,8,3,0,8.0,9,0,0
The Great Caruso,29,10,,,,,,,,
World of Kids,,,,,,,,,,
The Lavender Hill Mob,73,58,,,,,,,,
Nature's Half Acre,6,3,,,,,,,,
An American in Paris,185,102,83,14,3,1,6.8,10,1,1
A Streetcar Named Desire,312,93,97,19,1,0,8.4,55,4,1
When Worlds Collide,131,54,,,,,,,,
Here Comes the Groom,26,10,,,,,,,,
The African Queen,277,93,91,14,1,0,7.6,37,8,0
Benjy,,,,,,,,,,
Neighbours,16,6,,,,,,,,
The Greatest Show on Earth,145,63,,,,,,,,
Viva Zapata!,61,39,,,,,,,,
The Two Mouseketeers,10,2,,,,,,,,
With a Song in My Heart,55,9,,,,,,,,
High Noon,429,149,89,7,0,0,8.4,70,5,1
The Quiet Man,292,105,85,16,1,0,tbd,1,2,0
Water Birds,7,3,,,,,,,,
The Sound Barrier,33,30,,,,,,,,
Light in the Window,,,,,,,,,,
Limelight,123,59,,,,,,,,
