title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Letters from Iwo Jima,366,241,89,34,3,0,8.2,299,29,24
Happy Feet,612,121,77,26,4,0,6.2,190,69,81
Dreamgirls,554,238,76,30,6,1,7.3,199,53,41
Freeheld,2,,,,,,,,,
Once,383,237,88,33,0,0,8.2,305,30,40
La Vie en Rose,270,212,66,19,10,0,7.9,94,18,7
The Counterfeiters,126,168,78,23,0,0,7.9,34,9,0
Taxi to the Dark Side,60,53,82,25,0,0,7.1,30,6,7
No Country for Old Men,2K,516,92,36,2,0,7.9,"1,488",192,200
Ratatouille,834,319,96,37,0,0,8.6,"1,750",118,69
The Bourne Ultimatum,942,328,85,36,2,0,7.6,712,66,121
Atonement,718,308,85,33,3,0,7.8,449,71,62
Toyland,32,13,,,,,,,,
Michael Clayton,425,308,82,36,0,0,7.6,306,56,34
Juno,975,380,81,36,2,0,8.2,"1,088",88,133
Elizabeth: The Golden Age,252,195,45,7,26,2,6.3,55,24,19
There Will Be Blood,1.4K,352,93,39,3,0,8.1,"1,352",133,177
The Golden Compass,726,243,51,10,20,3,6.1,198,87,104
Sweeney Todd: The Demon Barber of Fleet Street,908,380,83,35,4,0,7.7,499,92,56
Man on Wire,175,198,89,31,0,0,8.2,122,13,7
Vicky Cristina Barcelona,424,276,70,30,4,2,7.0,190,42,32
The House of Small Cubes,18,20,,,,,,,,
Smile Pinki,2,,,,,,,,,
WALL·E,1.4K,272,95,39,0,0,8.8,"2,607",121,138
The Dark Knight,8K,434,84,33,6,0,8.9,"5,808",217,368
Departures,176,173,68,20,7,0,8.0,54,3,6
Slumdog Millionaire,1.2K,239,84,34,2,0,7.8,641,98,69
The Duchess,169,122,62,22,11,1,7.4,50,15,4
The Hurt Locker,1K,407,95,36,1,0,7.3,"1,134",167,238
Milk,324,248,83,37,2,0,7.6,272,38,43
The Curious Case of Benjamin Button,1K,317,70,26,10,1,7.4,494,81,86
The Reader,484,291,58,19,17,2,7.3,135,43,15
Precious,336,313,78,31,3,2,8.1,192,17,17
The Young Victoria,111,187,64,21,7,1,7.9,60,12,1
Star Trek,1.7K,523,82,43,3,0,7.9,"1,309",139,156
The Cove,152,175,84,26,0,0,8.2,92,6,8
Up,1K,408,88,34,3,0,8.7,"1,317",82,33
Inglourious Basterds,2K,400,69,26,9,1,7.9,"1,434",130,188
Logorama,24,22,,,,,,,,
The Secret in Their Eyes,338,282,80,32,1,3,8.5,189,18,5
The Blind Side,571,269,53,16,10,3,7.4,289,67,41
Crazy Heart,272,278,83,31,1,0,7.5,150,39,11
Avatar,3.5K,477,83,31,,,83,31,,
The New Tenants,8,12,,,,,,,,
The Wolfman,505,371,43,8,19,9,5.5,71,76,40
Inside Job,165,161,88,24,2,1,8.4,126,10,4
Alice in Wonderland,829,457,53,18,16,4,5.9,355,275,160
Music by Prudence,,3,,,,,,,,
The Lost Thing,14,15,,,,,,,,
Toy Story 3,952,465,92,39,0,0,8.9,"1,826",80,59
God of Love,8,12,,,,,,,,
Inception,4.5K,480,74,33,6,3,8.8,"4,166",232,227
In a Better World,103,205,65,21,7,1,7.9,40,9,1
Black Swan,1.4K,688,79,35,6,1,8.1,"1,050",97,80
The King's Speech,797,475,88,39,2,0,8.3,792,65,17
Beginners,175,179,81,34,2,0,8.1,213,36,11
The Social Network,1K,432,95,41,1,0,8.2,"1,900",183,102
Strangers No More,7,7,,,,,,,,
The Fighter,482,411,79,35,6,0,8.1,435,39,12
The Fantastic Flying Books of Mr. Morris Lessmore,18,13,,,,,,,,
A Separation,420,373,95,41,0,0,8.8,674,33,31
Rango,466,364,75,30,4,1,7.7,587,87,53
Undefeated,38,106,71,25,3,1,7.4,23,3,4
Midnight in Paris,715,522,81,40,0,0,8.0,601,69,28
The Artist,712,583,89,40,0,1,8.1,525,51,40
The Shore,5,9,,,,,,,,
The Help,636,295,62,24,15,2,7.8,415,50,29
The Descendants,513,548,84,38,5,0,7.7,399,72,21
Hugo,817,699,83,36,5,0,7.7,664,119,59
The Muppets,270,400,75,34,3,0,7.8,315,54,20
The Girl with the Dragon Tattoo,814,526,71,31,9,1,8.0,708,70,40
The Iron Lady,441,334,52,16,21,4,6.2,94,96,29
Searching for Sugar Man,220,259,79,28,4,0,8.3,78,5,3
Saving Face,7,9,,,,,,,,
Amour,241,459,94,43,2,0,8.1,289,36,20
Curfew,20,21,,,,,,,,
Brave,565,503,69,29,8,0,7.2,593,173,58
Inocente,4,18,,,,,,,,
Argo,865,667,86,41,4,0,7.6,869,123,80
Anna Karenina,304,336,63,28,12,1,6.4,80,60,20
Silver Linings Playbook,926,478,81,36,8,1,8.5,"1,081",87,34
Life of Pi,987,568,79,37,7,0,7.9,744,97,65
Paperman,115,32,,,,,,,,
Lincoln,869,561,86,41,3,0,7.5,605,128,64
Skyfall,1.7K,541,81,42,7,0,7.7,"1,505",241,149
Les Misérables,1K,498,63,24,15,2,7.4,589,135,76
Zero Dark Thirty,761,575,95,44,2,0,6.9,862,188,195
Django Unchained,1.7K,657,81,37,5,0,8.6,"2,241",125,94
20 Feet from Stardom,90,146,83,25,0,0,7.4,33,6,4
The Great Gatsby,1K,369,55,19,23,3,7.2,605,197,70
The Great Beauty,196,299,86,32,2,0,8.0,169,21,12
The Lady in Number 6: Music Saved My Life,4,12,,,,,,,,
Mr Hublot,14,13,,,,,,,,
Blue Jasmine,496,448,78,42,4,1,7.6,325,50,24
Gravity,2.2K,784,96,49,0,0,7.8,"2,840",392,348
12 Years a Slave,956,487,96,56,,,96,56,,
Ida,164,298,91,34,1,0,7.5,164,29,18
Dallas Buyers Club,449,402,79,45,2,0,8.2,590,35,12
Her,1.2K,629,91,43,4,0,8.6,"1,553",93,86
The Phone Call,12,16,,,,,,,,
Frozen,1.2K,445,75,42,6,0,7.5,"1,114",207,163
Crisis Hotline: Veterans Press 1,3,6,,,,,,,,
Helium,8,14,,,,,,,,
Whiplash,1.4K,588,88,48,1,0,8.9,"1,444",52,45
Boyhood,1K,585,100,50,0,0,7.5,"1,880",276,364
The Grand Budapest Hotel,1K,572,88,45,3,0,8.4,"1,260",81,58
Bear Story,16,22,,,,,,,,
Feast,33,29,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),1.4K,627,87,51,5,2,8.2,"1,566",150,139
The Imitation Game,950,386,71,38,10,1,8.1,755,84,25
The Theory of Everything,574,437,71,36,10,1,7.8,471,65,25
Still Alice,284,302,72,31,9,1,7.8,214,29,6
Citizenfour,125,213,88,37,1,0,7.6,126,18,13
Big Hero 6,612,416,74,34,5,0,7.8,782,107,61
Interstellar,5K,629,74,35,10,1,8.5,"4,151",297,285
Selma,289,382,80,46,5,1,7.2,331,57,54
American Sniper,1.1K,521,72,36,12,0,6.5,707,207,187
Ex Machina,1K,434,78,36,6,0,8.0,"1,169",141,60
Mad Max: Fury Road,2.2K,833,90,50,1,0,8.5,"3,675",226,289
Son of Saul,151,337,91,47,2,0,7.3,118,22,19
Amy,140,257,85,40,1,0,8.3,155,15,8
Inside Out,1.1K,593,94,55,0,0,8.7,"2,010",104,82
Stutterer,12,23,,,,,,,,
Spotlight,682,512,93,43,2,0,8.2,877,61,51
Room,779,484,86,39,3,1,8.3,653,39,40
The Danish Girl,323,276,66,28,12,1,6.8,172,53,33
Bridge of Spies,517,506,81,47,1,0,7.6,516,79,23
Spectre,1.2K,465,60,28,16,4,6.8,761,384,127
A Girl in the River: The Price of Forgiveness,11,9,,,,,,,,
The Big Short,634,488,81,37,6,2,8.1,660,62,28
The Hateful Eight,1.5K,571,68,34,12,5,7.6,"1,319",181,149
The Revenant,1.7K,651,76,41,8,1,8.0,"1,486",187,100
O.J.: Made in America,82,42,,,,,,,,
Manchester by the Sea,909,511,96,52,1,0,8.2,859,64,60
Zootopia,827,488,78,39,4,0,8.6,"1,484",87,47
Sing,12,34,,,,,,,,
The Jungle Book,631,460,77,42,7,0,7.5,620,113,46
The Salesman,121,316,85,32,4,0,7.5,214,41,34
Piper,56,29,,,,,,,,
Suicide Squad,2.5K,690,40,11,,,40,11,,
La La Land,2K,706,94,52,2,0,8.4,"1,952",194,150
Arrival,2.1K,735,81,47,4,1,8.2,"1,616",154,126
Moonlight,979,510,99,53,0,0,7.1,"1,263",179,322
Hacksaw Ridge,1K,477,71,40,7,0,8.2,722,60,34
The White Helmets,31,29,,,,,,,,
Heaven is a Traffic Jam on the 405,5,11,,,,,,,,
Fantastic Beasts and Where to Find Them,898,453,66,33,15,2,7.3,868,240,102
Fences,429,329,79,43,5,0,7.3,202,36,20
Icarus,132,49,68,14,1,1,7.4,60,6,6
Call Me by Your Name,1.1K,451,93,51,2,0,8.0,924,81,144
Get Out,1.8K,504,85,47,1,0,7.5,"1,238",141,192
A Fantastic Woman,77,204,86,41,2,0,7.0,87,9,18
Dear Basketball,24,15,,,,,,,,
Dunkirk,2.5K,558,94,52,0,1,8.3,"2,636",281,218
The Silent Child,31,33,,,,,,,,
The Shape of Water,1.7K,1K,87,49,3,1,7.0,736,166,147
Darkest Hour,699,425,75,44,4,2,7.3,268,57,19
"Three Billboards Outside Ebbing, Missouri",1.3K,572,88,49,1,0,7.8,816,91,86
"I, Tonya",558,435,77,40,6,1,7.8,345,23,20
Blade Runner 2049,2.4K,555,81,47,7,0,8.3,"2,187",166,196
Coco,1.3K,415,81,45,3,0,8.4,838,47,58
Phantom Thread,601,453,90,49,2,0,7.8,445,45,50
Black Panther,3.4K,509,88,55,0,0,6.3,"2,001",684,757
Period. End of Sentence.,28,22,,,,,,,,
Bao,114,29,,,,,,,,
BlacKkKlansman,943,445,83,54,1,1,7.3,458,64,62
First Man,1.4K,490,84,54,2,0,7.4,475,88,48
The Favourite,1.2K,446,91,52,1,0,7.7,408,44,50
Roma,1.1K,420,96,50,0,0,7.7,614,77,94
A Star Is Born,2.8K,468,88,58,2,0,8.4,"1,379",126,122
Skin,34,20,,,,,,,,
Free Solo,321,136,83,24,,,83,24,,
If Beale Street Could Talk,320,294,87,52,1,0,7.1,112,33,14
Green Book,1.7K,422,69,37,13,2,8.0,501,52,30
Bohemian Rhapsody,3.5K,423,49,17,23,10,7.7,847,199,78
Spider-Man: Into the Spider-Verse,2.1K,417,87,49,1,0,8.4,"1,666",77,154
Vice,778,337,61,29,14,11,6.6,172,82,40
American Factory,167,61,86,22,1,0,7.7,37,10,0
The Neighbors' Window,27,16,,,,,,,,
Learning to Skateboard in a Warzone (If You're a Girl),4,8,,,,,,,,
Rocketman,1K,360,69,35,13,1,7.4,316,70,44
Parasite,3.4K,600,96,52,,,96,52,,
Once Upon a Time... In Hollywood,5.6K,648,83,56,6,0,7.5,"1,344",201,204
Toy Story 4,1.3K,396,84,56,1,0,7.9,652,86,61
Hair Love,26,18,,,,,,,,
Marriage Story,1.3K,358,94,53,,,94,53,,
Ford v Ferrari,1.5K,351,81,42,5,0,8.3,587,41,19
Judy,501,264,66,34,12,0,6.7,80,41,13
Joker,11.3K,694,59,33,16,11,8.9,"6,614",350,350
Sound of Metal,583,271,82,35,2,0,7.9,181,16,3
Jojo Rabbit,1.7K,435,58,30,20,7,7.9,599,83,55
1917,3.3K,515,78,49,7,1,8.4,799,66,32
Little Women,1.1K,358,91,53,4,0,7.5,357,61,57
Bombshell,565,284,64,27,18,1,6.2,100,50,27
Promising Young Woman,1.1K,750,73,39,9,0,7.2,215,40,37
Minari,420,292,89,48,1,0,8.0,162,17,6
The Father,953,301,88,48,3,0,8.6,223,15,6
Colette,4,8,,,,,,,,
The Long Goodbye,12,14,,,,,,,,
If Anything Happens I Love You,103,32,,,,,,,,
Tenet,5.4K,509,69,33,17,0,7.3,"1,031",198,203
My Octopus Teacher,631,56,82,5,0,0,8.0,39,3,2
Nomadland,1K,388,93,53,1,0,7.3,227,54,31
Another Round,448,273,79,29,5,0,8.1,167,17,4
Soul,1.8K,346,83,49,6,0,8.2,582,59,45
Mank,582,326,79,44,8,0,6.3,162,41,51
Two Distant Strangers,148,23,,,,,,,,
Ma Rainey's Black Bottom,424,217,87,43,3,0,6.7,111,33,25
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",79,120,96,38,0,0,7.4,29,5,3
CODA,571,226,74,36,9,0,7.5,117,19,12
Judas and the Black Messiah,386,272,85,47,2,0,7.4,185,27,23
Cruella,1.9K,330,59,30,21,5,7.1,358,70,75
The Queen of Basketball,5,7,,,,,,,,
Drive My Car,216,223,91,42,0,0,7.3,77,22,11
The Windshield Wiper,12,10,,,,,,,,
The Power of the Dog,1.5K,296,89,57,1,0,6.5,208,59,69
Belfast,456,256,75,47,7,1,6.5,90,41,24
King Richard,529,241,76,45,7,1,6.5,125,31,35
Dune,5.3K,494,74,53,13,1,8.0,"1,183",135,129
The Eyes of Tammy Faye,219,150,55,19,25,4,5.8,23,18,12
No Time to Die,3.8K,450,68,42,22,2,6.3,349,119,121
Encanto,1K,217,75,35,6,0,6.9,199,48,45
West Side Story,745,290,85,56,6,0,7.1,139,19,30
